TCA,RundleQPct,Rundle,Matches,W,L,T
0,0.472,"D Prairie Div 1",18,0,15,3
6,0.413,"D Prairie Div 2",3,3,0,0
5,0.413,"D Prairie Div 2",18,17,1,0
4,0.413,"D Prairie Div 2",85,67,9,9
3,0.413,"D Prairie Div 2",150,72,48,30
2,0.413,"D Prairie Div 2",163,54,79,30
1,0.413,"D Prairie Div 2",103,11,73,19
0,0.413,"D Prairie Div 2",14,0,14,0
6,0.411,"D Seaboard Div 1",3,3,0,0
5,0.411,"D Seaboard Div 1",26,23,0,3
4,0.411,"D Seaboard Div 1",92,69,12,11
3,0.411,"D Seaboard Div 1",153,87,45,21
2,0.411,"D Seaboard Div 1",176,53,92,31
1,0.411,"D Seaboard Div 1",95,10,69,16
0,0.411,"D Seaboard Div 1",29,0,27,2
6,0.413,"D Seaboard Div 2",4,2,0,2
5,0.413,"D Seaboard Div 2",24,21,1,2
4,0.413,"D Seaboard Div 2",91,73,6,12
3,0.413,"D Seaboard Div 2",156,84,54,18
2,0.413,"D Seaboard Div 2",166,52,95,19
1,0.413,"D Seaboard Div 2",92,14,60,18
0,0.413,"D Seaboard Div 2",33,0,30,3
6,0.428,"D Sequoia Div 1",6,6,0,0
5,0.428,"D Sequoia Div 1",35,30,2,3
4,0.428,"D Sequoia Div 1",111,78,15,18
3,0.428,"D Sequoia Div 1",200,105,73,22
2,0.428,"D Sequoia Div 1",173,51,92,30
1,0.428,"D Sequoia Div 1",120,20,89,11
0,0.428,"D Sequoia Div 1",23,0,19,4
6,0.429,"D Sequoia Div 2",2,2,0,0
5,0.429,"D Sequoia Div 2",29,21,3,5
4,0.429,"D Sequoia Div 2",94,76,10,8
3,0.429,"D Sequoia Div 2",197,102,61,34
2,0.429,"D Sequoia Div 2",155,50,93,12
1,0.429,"D Sequoia Div 2",99,12,75,12
0,0.429,"D Sequoia Div 2",22,0,21,1
6,0.458,"D Sierra Div 1",3,3,0,0
5,0.458,"D Sierra Div 1",37,37,0,0
4,0.458,"D Sierra Div 1",140,105,24,11
3,0.458,"D Sierra Div 1",176,82,74,20
2,0.458,"D Sierra Div 1",166,40,102,24
1,0.458,"D Sierra Div 1",75,9,57,9
0,0.458,"D Sierra Div 1",19,0,19,0
6,0.499,"D Sierra Div 2",7,7,0,0
5,0.499,"D Sierra Div 2",44,40,0,4
4,0.499,"D Sierra Div 2",135,82,38,15
3,0.499,"D Sierra Div 2",193,82,78,33
2,0.499,"D Sierra Div 2",130,24,83,23
1,0.499,"D Sierra Div 2",54,4,38,12
0,0.499,"D Sierra Div 2",3,0,2,1
5,0.415,"D Skyline Div 1",36,33,1,2
4,0.415,"D Skyline Div 1",93,74,15,4
3,0.415,"D Skyline Div 1",168,88,52,28
2,0.415,"D Skyline Div 1",176,55,95,26
1,0.415,"D Skyline Div 1",112,15,81,16
0,0.415,"D Skyline Div 1",25,0,21,4
6,0.452,"D Skyline Div 2",5,5,0,0
5,0.452,"D Skyline Div 2",39,37,1,1
4,0.452,"D Skyline Div 2",101,73,21,7
3,0.452,"D Skyline Div 2",193,94,72,27
2,0.452,"D Skyline Div 2",154,38,92,24
1,0.452,"D Skyline Div 2",84,12,61,11
0,0.452,"D Skyline Div 2",14,0,12,2
6,0.514,"D Sugarloaf Div 1",5,5,0,0
5,0.514,"D Sugarloaf Div 1",48,42,4,2
4,0.514,"D Sugarloaf Div 1",152,100,33,19
3,0.514,"D Sugarloaf Div 1",166,58,76,32
2,0.514,"D Sugarloaf Div 1",107,19,70,18
1,0.514,"D Sugarloaf Div 1",42,3,36,3
0,0.514,"D Sugarloaf Div 1",8,0,8,0
6,0.467,"D Sugarloaf Div 2",11,11,0,0
5,0.467,"D Sugarloaf Div 2",35,28,2,5
4,0.467,"D Sugarloaf Div 2",108,65,27,16
3,0.467,"D Sugarloaf Div 2",165,85,63,17
2,0.467,"D Sugarloaf Div 2",122,31,70,21
1,0.467,"D Sugarloaf Div 2",71,10,54,7
0,0.467,"D Sugarloaf Div 2",16,0,14,2
6,0.457,"D Tundra Div 1",4,4,0,0
5,0.457,"D Tundra Div 1",40,34,4,2
4,0.457,"D Tundra Div 1",126,95,13,18
3,0.457,"D Tundra Div 1",159,68,64,27
2,0.457,"D Tundra Div 1",184,49,108,27
1,0.457,"D Tundra Div 1",77,8,58,11
0,0.457,"D Tundra Div 1",12,0,11,1
6,0.448,"D Tundra Div 2",6,6,0,0
5,0.448,"D Tundra Div 2",37,29,2,6
4,0.448,"D Tundra Div 2",98,71,15,12
3,0.448,"D Tundra Div 2",183,84,69,30
2,0.448,"D Tundra Div 2",163,49,89,25
1,0.448,"D Tundra Div 2",81,10,58,13
0,0.448,"D Tundra Div 2",16,0,16,0
6,0.303,"E Alpine Div 1",1,1,0,0
5,0.303,"E Alpine Div 1",10,9,1,0
4,0.303,"E Alpine Div 1",62,52,2,8
3,0.303,"E Alpine Div 1",117,70,34,13
2,0.303,"E Alpine Div 1",170,83,60,27
1,0.303,"E Alpine Div 1",208,52,109,47
0,0.303,"E Alpine Div 1",92,0,61,31
6,0.351,"E Alpine Div 2",2,2,0,0
5,0.351,"E Alpine Div 2",14,13,0,1
4,0.351,"E Alpine Div 2",53,48,2,3
3,0.351,"E Alpine Div 2",137,86,29,22
2,0.351,"E Alpine Div 2",199,74,85,40
1,0.351,"E Alpine Div 2",132,19,89,24
0,0.351,"E Alpine Div 2",53,0,37,16
6,0.348,"E Arcadia Div 1",1,1,0,0
5,0.348,"E Arcadia Div 1",8,8,0,0
4,0.348,"E Arcadia Div 1",56,46,6,4
3,0.348,"E Arcadia Div 1",146,99,34,13
2,0.348,"E Arcadia Div 1",219,84,108,27
1,0.348,"E Arcadia Div 1",137,29,84,24
0,0.348,"E Arcadia Div 1",47,0,35,12
6,0.306,"E Arcadia Div 2",1,1,0,0
5,0.306,"E Arcadia Div 2",4,3,0,1
4,0.306,"E Arcadia Div 2",50,40,1,9
3,0.306,"E Arcadia Div 2",111,74,25,12
2,0.306,"E Arcadia Div 2",199,95,68,36
1,0.306,"E Arcadia Div 2",174,37,103,34
0,0.306,"E Arcadia Div 2",75,0,53,22
5,0.321,"E Archipelago Div 1",8,8,0,0
4,0.321,"E Archipelago Div 1",34,26,3,5
3,0.321,"E Archipelago Div 1",93,66,18,9
2,0.321,"E Archipelago Div 1",143,55,57,31
1,0.321,"E Archipelago Div 1",125,31,73,21
0,0.321,"E Archipelago Div 1",45,0,35,10
6,0.348,"E Archipelago Div 2",1,1,0,0
5,0.348,"E Archipelago Div 2",10,10,0,0
4,0.348,"E Archipelago Div 2",36,29,4,3
3,0.348,"E Archipelago Div 2",118,83,23,12
2,0.348,"E Archipelago Div 2",158,64,67,27
1,0.348,"E Archipelago Div 2",124,19,86,19
0,0.348,"E Archipelago Div 2",31,0,26,5
5,0.324,"E Atlantic Div 1",10,10,0,0
4,0.324,"E Atlantic Div 1",61,44,13,4
3,0.324,"E Atlantic Div 1",143,96,25,22
2,0.324,"E Atlantic Div 1",183,69,83,31
1,0.324,"E Atlantic Div 1",186,43,93,50
0,0.324,"E Atlantic Div 1",69,0,48,21
6,0.338,"E Atlantic Div 2",2,2,0,0
5,0.338,"E Atlantic Div 2",15,14,1,0
4,0.338,"E Atlantic Div 2",53,46,3,4
3,0.338,"E Atlantic Div 2",139,86,30,23
2,0.338,"E Atlantic Div 2",182,79,71,32
1,0.338,"E Atlantic Div 2",169,31,107,31
0,0.338,"E Atlantic Div 2",58,0,46,12
6,0.335,"E Badlands Div 1",1,1,0,0
5,0.335,"E Badlands Div 1",19,19,0,0
4,0.335,"E Badlands Div 1",69,49,8,12
3,0.335,"E Badlands Div 1",162,102,38,22
2,0.335,"E Badlands Div 1",230,89,87,54
1,0.335,"E Badlands Div 1",205,49,116,40
0,0.335,"E Badlands Div 1",72,0,60,12
6,0.374,"E Badlands Div 2",3,3,0,0
5,0.374,"E Badlands Div 2",27,26,1,0
4,0.374,"E Badlands Div 2",84,65,12,7
3,0.374,"E Badlands Div 2",183,102,54,27
2,0.374,"E Badlands Div 2",227,93,104,30
1,0.374,"E Badlands Div 2",150,26,97,27
0,0.374,"E Badlands Div 2",58,0,47,11
6,0.317,"E Bayou Div 1",1,1,0,0
5,0.317,"E Bayou Div 1",9,8,1,0
4,0.317,"E Bayou Div 1",61,53,6,2
3,0.317,"E Bayou Div 1",116,74,21,21
2,0.317,"E Bayou Div 1",228,92,82,54
1,0.317,"E Bayou Div 1",185,40,99,46
0,0.317,"E Bayou Div 1",74,0,59,15
6,0.344,"E Bayou Div 2",1,1,0,0
5,0.344,"E Bayou Div 2",19,18,0,1
4,0.344,"E Bayou Div 2",63,45,12,6
3,0.344,"E Bayou Div 2",134,88,31,15
2,0.344,"E Bayou Div 2",227,97,97,33
1,0.344,"E Bayou Div 2",164,36,101,27
0,0.344,"E Bayou Div 2",56,0,44,12
5,0.339,"E Cascade Div 1",12,12,0,0
4,0.339,"E Cascade Div 1",58,47,6,5
3,0.339,"E Cascade Div 1",149,101,34,14
2,0.339,"E Cascade Div 1",184,80,77,27
1,0.339,"E Cascade Div 1",162,26,105,31
0,0.339,"E Cascade Div 1",59,0,44,15
6,0.318,"E Cascade Div 2",2,2,0,0
5,0.318,"E Cascade Div 2",8,8,0,0
4,0.318,"E Cascade Div 2",47,40,2,5
3,0.318,"E Cascade Div 2",127,83,32,12
2,0.318,"E Cascade Div 2",171,78,65,28
1,0.318,"E Cascade Div 2",182,37,103,42
0,0.318,"E Cascade Div 2",63,0,46,17
6,0.370,"E Central Div 1",5,5,0,0
5,0.370,"E Central Div 1",28,27,0,1
4,0.370,"E Central Div 1",85,67,5,13
3,0.370,"E Central Div 1",155,84,41,30
2,0.370,"E Central Div 1",186,72,84,30
1,0.370,"E Central Div 1",149,29,96,24
0,0.370,"E Central Div 1",70,0,58,12
6,0.379,"E Central Div 2",2,2,0,0
5,0.379,"E Central Div 2",27,26,0,1
4,0.379,"E Central Div 2",93,66,13,14
3,0.379,"E Central Div 2",129,65,34,30
2,0.379,"E Central Div 2",181,59,73,49
1,0.379,"E Central Div 2",152,27,89,36
0,0.379,"E Central Div 2",40,0,36,4
5,0.324,"E Coastal Div 1",12,12,0,0
4,0.324,"E Coastal Div 1",41,34,5,2
3,0.324,"E Coastal Div 1",93,59,25,9
2,0.324,"E Coastal Div 1",141,49,55,37
1,0.324,"E Coastal Div 1",135,32,67,36
0,0.324,"E Coastal Div 1",50,0,34,16
6,0.335,"E Coastal Div 2",1,1,0,0
5,0.335,"E Coastal Div 2",11,11,0,0
4,0.335,"E Coastal Div 2",44,33,5,6
3,0.335,"E Coastal Div 2",109,68,24,17
2,0.335,"E Coastal Div 2",165,69,61,35
1,0.335,"E Coastal Div 2",130,24,80,26
0,0.335,"E Coastal Div 2",48,0,36,12
6,0.339,"E Continental Div 1",2,2,0,0
5,0.339,"E Continental Div 1",12,10,0,2
4,0.339,"E Continental Div 1",56,46,4,6
3,0.339,"E Continental Div 1",154,98,31,25
2,0.339,"E Continental Div 1",217,88,89,40
1,0.339,"E Continental Div 1",158,25,101,32
0,0.339,"E Continental Div 1",61,0,44,17
6,0.338,"E Continental Div 2",1,1,0,0
5,0.338,"E Continental Div 2",12,12,0,0
4,0.338,"E Continental Div 2",75,63,7,5
3,0.338,"E Continental Div 2",130,76,33,21
2,0.338,"E Continental Div 2",199,85,81,33
1,0.338,"E Continental Div 2",177,39,105,33
0,0.338,"E Continental Div 2",62,0,50,12
6,0.325,"E Corridor Div 1",1,1,0,0
5,0.325,"E Corridor Div 1",10,10,0,0
4,0.325,"E Corridor Div 1",53,44,3,6
3,0.325,"E Corridor Div 1",126,76,29,21
2,0.325,"E Corridor Div 1",202,95,74,33
1,0.325,"E Corridor Div 1",160,28,98,34
0,0.325,"E Corridor Div 1",66,0,50,16
6,0.313,"E Corridor Div 2",1,1,0,0
5,0.313,"E Corridor Div 2",5,5,0,0
4,0.313,"E Corridor Div 2",48,38,5,5
3,0.313,"E Corridor Div 2",108,65,22,21
2,0.313,"E Corridor Div 2",186,94,62,30
1,0.313,"E Corridor Div 2",157,38,95,24
0,0.313,"E Corridor Div 2",75,0,57,18
6,0.375,"E Fjord Div 1",1,1,0,0
5,0.375,"E Fjord Div 1",19,16,2,1
4,0.375,"E Fjord Div 1",72,62,7,3
3,0.375,"E Fjord Div 1",160,85,44,31
2,0.375,"E Fjord Div 1",175,63,80,32
1,0.375,"E Fjord Div 1",124,22,79,23
0,0.375,"E Fjord Div 1",45,0,37,8
6,0.346,"E Fjord Div 2",1,1,0,0
5,0.346,"E Fjord Div 2",22,22,0,0
4,0.346,"E Fjord Div 2",66,55,7,4
3,0.346,"E Fjord Div 2",121,75,37,9
2,0.346,"E Fjord Div 2",176,71,81,24
1,0.346,"E Fjord Div 2",151,37,89,25
0,0.346,"E Fjord Div 2",65,0,47,18
6,0.319,"E Frontier Div 1",1,1,0,0
5,0.319,"E Frontier Div 1",9,9,0,0
4,0.319,"E Frontier Div 1",51,45,1,5
3,0.319,"E Frontier Div 1",139,88,23,28
2,0.319,"E Frontier Div 1",208,85,82,41
1,0.319,"E Frontier Div 1",173,39,104,30
0,0.319,"E Frontier Div 1",75,0,57,18
6,0.339,"E Frontier Div 2",1,1,0,0
5,0.339,"E Frontier Div 2",17,16,0,1
4,0.339,"E Frontier Div 2",53,43,5,5
3,0.339,"E Frontier Div 2",150,98,32,20
2,0.339,"E Frontier Div 2",210,77,89,44
1,0.339,"E Frontier Div 2",156,31,91,34
0,0.339,"E Frontier Div 2",65,0,49,16
5,0.349,"E Glacier",11,11,0,0
4,0.349,"E Glacier",72,53,3,16
3,0.349,"E Glacier",131,88,29,14
2,0.349,"E Glacier",190,72,90,28
1,0.349,"E Glacier",131,27,84,20
0,0.349,"E Glacier",59,0,45,14
6,0.300,"E Highland Div 1",1,1,0,0
5,0.300,"E Highland Div 1",3,3,0,0
4,0.300,"E Highland Div 1",37,32,2,3
3,0.300,"E Highland Div 1",130,84,27,19
2,0.300,"E Highland Div 1",195,88,73,34
1,0.300,"E Highland Div 1",194,48,105,41
0,0.300,"E Highland Div 1",74,0,49,25
5,0.271,"E Highland Div 2",5,5,0,0
4,0.271,"E Highland Div 2",26,23,1,2
3,0.271,"E Highland Div 2",106,83,15,8
2,0.271,"E Highland Div 2",209,101,68,40
1,0.271,"E Highland Div 2",216,54,115,47
0,0.271,"E Highland Div 2",100,0,67,33
5,0.330,"E Horizon Div 1",15,15,0,0
4,0.330,"E Horizon Div 1",40,34,3,3
3,0.330,"E Horizon Div 1",145,96,30,19
2,0.330,"E Horizon Div 1",164,68,65,31
1,0.330,"E Horizon Div 1",166,25,99,42
0,0.330,"E Horizon Div 1",58,0,41,17
6,0.332,"E Horizon Div 2",1,1,0,0
5,0.332,"E Horizon Div 2",16,14,0,2
4,0.332,"E Horizon Div 2",52,39,6,7
3,0.332,"E Horizon Div 2",122,80,28,14
2,0.332,"E Horizon Div 2",180,79,70,31
1,0.332,"E Horizon Div 2",154,35,99,20
0,0.332,"E Horizon Div 2",63,0,45,18
6,0.334,"E Juniper",2,2,0,0
5,0.334,"E Juniper",16,16,0,0
4,0.334,"E Juniper",89,73,7,9
3,0.334,"E Juniper",159,101,48,10
2,0.334,"E Juniper",232,107,94,31
1,0.334,"E Juniper",208,46,122,40
0,0.334,"E Juniper",90,0,74,16
5,0.322,"E Laguna Div 1",9,9,0,0
4,0.322,"E Laguna Div 1",68,61,2,5
3,0.322,"E Laguna Div 1",134,78,27,29
2,0.322,"E Laguna Div 1",207,88,78,41
1,0.322,"E Laguna Div 1",201,53,119,29
0,0.322,"E Laguna Div 1",71,0,63,8
6,0.362,"E Laguna Div 2",6,6,0,0
5,0.362,"E Laguna Div 2",16,14,1,1
4,0.362,"E Laguna Div 2",66,50,11,5
3,0.362,"E Laguna Div 2",196,117,52,27
2,0.362,"E Laguna Div 2",231,88,92,51
1,0.362,"E Laguna Div 2",165,31,106,28
0,0.362,"E Laguna Div 2",54,0,44,10
6,0.338,"E Magnolia Div 1",1,1,0,0
5,0.338,"E Magnolia Div 1",15,14,1,0
4,0.338,"E Magnolia Div 1",81,65,11,5
3,0.338,"E Magnolia Div 1",149,82,36,31
2,0.338,"E Magnolia Div 1",230,94,89,47
1,0.338,"E Magnolia Div 1",177,43,101,33
0,0.338,"E Magnolia Div 1",83,0,61,22
6,0.359,"E Magnolia Div 2",3,3,0,0
5,0.359,"E Magnolia Div 2",23,21,0,2
4,0.359,"E Magnolia Div 2",88,64,14,10
3,0.359,"E Magnolia Div 2",167,104,42,21
2,0.359,"E Magnolia Div 2",227,90,97,40
1,0.359,"E Magnolia Div 2",178,33,104,41
0,0.359,"E Magnolia Div 2",64,0,58,6
6,0.351,"E Maritime Div 1",4,4,0,0
5,0.351,"E Maritime Div 1",12,10,1,1
4,0.351,"E Maritime Div 1",58,42,6,10
3,0.351,"E Maritime Div 1",159,102,40,17
2,0.351,"E Maritime Div 1",191,72,78,41
1,0.351,"E Maritime Div 1",140,28,86,26
0,0.351,"E Maritime Div 1",58,0,47,11
5,0.304,"E Maritime Div 2",9,9,0,0
4,0.304,"E Maritime Div 2",40,32,2,6
3,0.304,"E Maritime Div 2",144,92,24,28
2,0.304,"E Maritime Div 2",180,80,66,34
1,0.304,"E Maritime Div 2",202,49,116,37
0,0.304,"E Maritime Div 2",81,0,54,27
6,0.324,"E Memorial Div 1",2,2,0,0
5,0.324,"E Memorial Div 1",8,7,1,0
4,0.324,"E Memorial Div 1",58,49,5,4
3,0.324,"E Memorial Div 1",150,96,33,21
2,0.324,"E Memorial Div 1",209,86,75,48
1,0.324,"E Memorial Div 1",190,38,111,41
0,0.324,"E Memorial Div 1",73,0,53,20
6,0.305,"E Memorial Div 2",1,1,0,0
5,0.305,"E Memorial Div 2",3,3,0,0
4,0.305,"E Memorial Div 2",49,43,2,4
3,0.305,"E Memorial Div 2",133,85,27,21
2,0.305,"E Memorial Div 2",192,90,71,31
1,0.305,"E Memorial Div 2",165,34,89,42
0,0.305,"E Memorial Div 2",95,0,67,28
5,0.301,"E Meridian Div 1",7,7,0,0
4,0.301,"E Meridian Div 1",29,27,1,1
3,0.301,"E Meridian Div 1",76,49,16,11
2,0.301,"E Meridian Div 1",113,47,44,22
1,0.301,"E Meridian Div 1",131,31,67,33
0,0.301,"E Meridian Div 1",50,0,33,17
5,0.336,"E Meridian Div 2",7,6,1,0
4,0.336,"E Meridian Div 2",30,28,2,0
3,0.336,"E Meridian Div 2",96,63,22,11
2,0.336,"E Meridian Div 2",143,55,60,28
1,0.336,"E Meridian Div 2",106,22,61,23
0,0.336,"E Meridian Div 2",34,0,28,6
6,0.347,"E Metro Div 1",2,2,0,0
5,0.347,"E Metro Div 1",10,9,0,1
4,0.347,"E Metro Div 1",41,37,2,2
3,0.347,"E Metro Div 1",143,95,32,16
2,0.347,"E Metro Div 1",176,69,76,31
1,0.347,"E Metro Div 1",114,19,82,13
0,0.347,"E Metro Div 1",50,0,39,11
5,0.297,"E Metro Div 2",11,11,0,0
4,0.297,"E Metro Div 2",32,31,0,1
3,0.297,"E Metro Div 2",90,67,9,14
2,0.297,"E Metro Div 2",178,78,79,21
1,0.297,"E Metro Div 2",174,48,104,22
0,0.297,"E Metro Div 2",65,0,43,22
5,0.340,"E Midland Div 1",12,12,0,0
4,0.340,"E Midland Div 1",60,52,5,3
3,0.340,"E Midland Div 1",142,82,29,31
2,0.340,"E Midland Div 1",197,74,83,40
1,0.340,"E Midland Div 1",165,39,98,28
0,0.340,"E Midland Div 1",54,0,44,10
5,0.329,"E Midland Div 2",16,14,0,2
4,0.329,"E Midland Div 2",41,37,1,3
3,0.329,"E Midland Div 2",148,89,28,31
2,0.329,"E Midland Div 2",215,87,81,47
1,0.329,"E Midland Div 2",158,31,95,32
0,0.329,"E Midland Div 2",70,0,53,17
5,0.331,"E Morningstar Div 1",14,14,0,0
4,0.331,"E Morningstar Div 1",52,39,7,6
3,0.331,"E Morningstar Div 1",138,86,34,18
2,0.331,"E Morningstar Div 1",206,91,71,44
1,0.331,"E Morningstar Div 1",152,30,94,28
0,0.331,"E Morningstar Div 1",66,0,54,12
5,0.346,"E Morningstar Div 2",9,8,1,0
4,0.346,"E Morningstar Div 2",68,59,8,1
3,0.346,"E Morningstar Div 2",146,87,33,26
2,0.346,"E Morningstar Div 2",194,84,75,35
1,0.346,"E Morningstar Div 2",125,23,89,13
0,0.346,"E Morningstar Div 2",68,0,55,13
5,0.297,"E Pacific Div 1",7,7,0,0
4,0.297,"E Pacific Div 1",26,20,1,5
3,0.297,"E Pacific Div 1",112,72,25,15
2,0.297,"E Pacific Div 1",139,72,40,27
1,0.297,"E Pacific Div 1",160,36,92,32
0,0.297,"E Pacific Div 1",68,0,49,19
5,0.323,"E Pacific Div 2",8,7,0,1
4,0.323,"E Pacific Div 2",33,28,3,2
3,0.323,"E Pacific Div 2",122,81,26,15
2,0.323,"E Pacific Div 2",170,71,74,25
1,0.323,"E Pacific Div 2",132,28,73,31
0,0.323,"E Pacific Div 2",53,0,39,14
6,0.327,"E Piedmont Div 1",1,1,0,0
5,0.327,"E Piedmont Div 1",16,16,0,0
4,0.327,"E Piedmont Div 1",57,50,5,2
3,0.327,"E Piedmont Div 1",131,86,31,14
2,0.327,"E Piedmont Div 1",210,103,78,29
1,0.327,"E Piedmont Div 1",199,35,126,38
0,0.327,"E Piedmont Div 1",62,0,51,11
5,0.323,"E Piedmont Div 2",12,12,0,0
4,0.323,"E Piedmont Div 2",45,37,4,4
3,0.323,"E Piedmont Div 2",134,89,28,17
2,0.323,"E Piedmont Div 2",205,84,83,38
1,0.323,"E Piedmont Div 2",172,43,95,34
0,0.323,"E Piedmont Div 2",62,0,55,7
6,0.356,"E Plaza",1,1,0,0
5,0.356,"E Plaza",14,12,1,1
4,0.356,"E Plaza",69,58,6,5
3,0.356,"E Plaza",143,92,35,16
2,0.356,"E Plaza",190,78,86,26
1,0.356,"E Plaza",144,24,98,22
0,0.356,"E Plaza",49,0,39,10
6,0.337,"E Prairie Div 1",2,2,0,0
5,0.337,"E Prairie Div 1",10,10,0,0
4,0.337,"E Prairie Div 1",69,52,7,10
3,0.337,"E Prairie Div 1",156,97,36,23
2,0.337,"E Prairie Div 1",233,94,86,53
1,0.337,"E Prairie Div 1",201,43,118,40
0,0.337,"E Prairie Div 1",57,0,51,6
6,0.328,"E Prairie Div 2",2,2,0,0
5,0.328,"E Prairie Div 2",11,11,0,0
4,0.328,"E Prairie Div 2",54,48,5,1
3,0.328,"E Prairie Div 2",157,104,33,20
2,0.328,"E Prairie Div 2",234,99,89,46
1,0.328,"E Prairie Div 2",177,31,114,32
0,0.328,"E Prairie Div 2",71,0,54,17
5,0.319,"E Seaboard Div 1",8,8,0,0
4,0.319,"E Seaboard Div 1",65,50,5,10
3,0.319,"E Seaboard Div 1",142,93,29,20
2,0.319,"E Seaboard Div 1",225,94,90,41
1,0.319,"E Seaboard Div 1",179,37,98,44
0,0.319,"E Seaboard Div 1",85,0,60,25
5,0.327,"E Seaboard Div 2",10,10,0,0
4,0.327,"E Seaboard Div 2",52,42,4,6
3,0.327,"E Seaboard Div 2",150,103,30,17
2,0.327,"E Seaboard Div 2",227,89,89,49
1,0.327,"E Seaboard Div 2",180,40,114,26
0,0.327,"E Seaboard Div 2",63,0,47,16
6,0.334,"E Sequoia Div 1",1,1,0,0
5,0.334,"E Sequoia Div 1",17,15,2,0
4,0.334,"E Sequoia Div 1",46,41,3,2
3,0.334,"E Sequoia Div 1",149,94,35,20
2,0.334,"E Sequoia Div 1",170,76,66,28
1,0.334,"E Sequoia Div 1",162,30,99,33
0,0.334,"E Sequoia Div 1",63,0,52,11
6,0.317,"E Sequoia Div 2",1,1,0,0
5,0.317,"E Sequoia Div 2",7,6,1,0
4,0.317,"E Sequoia Div 2",41,34,1,6
3,0.317,"E Sequoia Div 2",132,77,27,28
2,0.317,"E Sequoia Div 2",202,91,64,47
1,0.317,"E Sequoia Div 2",173,32,99,42
0,0.317,"E Sequoia Div 2",62,0,49,13
5,0.336,"E Sierra Div 1",7,7,0,0
4,0.336,"E Sierra Div 1",47,37,4,6
3,0.336,"E Sierra Div 1",100,57,24,19
2,0.336,"E Sierra Div 1",181,82,64,35
1,0.336,"E Sierra Div 1",125,27,78,20
0,0.336,"E Sierra Div 1",44,0,40,4
6,0.380,"E Sierra Div 2",2,2,0,0
5,0.380,"E Sierra Div 2",15,15,0,0
4,0.380,"E Sierra Div 2",61,44,8,9
3,0.380,"E Sierra Div 2",142,88,35,19
2,0.380,"E Sierra Div 2",149,51,73,25
1,0.380,"E Sierra Div 2",115,21,77,17
0,0.380,"E Sierra Div 2",30,0,28,2
6,0.349,"E Skyline Div 1",1,1,0,0
5,0.349,"E Skyline Div 1",16,16,0,0
4,0.349,"E Skyline Div 1",63,51,6,6
3,0.349,"E Skyline Div 1",142,93,37,12
2,0.349,"E Skyline Div 1",168,72,74,22
1,0.349,"E Skyline Div 1",119,21,78,20
0,0.349,"E Skyline Div 1",75,0,59,16
6,0.313,"E Skyline Div 2",1,1,0,0
5,0.313,"E Skyline Div 2",6,6,0,0
4,0.313,"E Skyline Div 2",38,36,2,0
3,0.313,"E Skyline Div 2",139,94,29,16
2,0.313,"E Skyline Div 2",189,83,80,26
1,0.313,"E Skyline Div 2",178,46,102,30
0,0.313,"E Skyline Div 2",67,0,53,14
6,0.365,"E Sugarloaf Div 1",1,1,0,0
5,0.365,"E Sugarloaf Div 1",15,15,0,0
4,0.365,"E Sugarloaf Div 1",60,50,6,4
3,0.365,"E Sugarloaf Div 1",143,87,37,19
2,0.365,"E Sugarloaf Div 1",177,61,83,33
1,0.365,"E Sugarloaf Div 1",134,22,81,31
0,0.365,"E Sugarloaf Div 1",36,0,29,7
6,0.317,"E Sugarloaf Div 2",1,1,0,0
5,0.317,"E Sugarloaf Div 2",5,5,0,0
4,0.317,"E Sugarloaf Div 2",44,38,3,3
3,0.317,"E Sugarloaf Div 2",110,71,13,26
2,0.317,"E Sugarloaf Div 2",218,93,78,47
1,0.317,"E Sugarloaf Div 2",159,30,96,33
0,0.317,"E Sugarloaf Div 2",65,0,48,17
5,0.307,"E Tundra Div 1",6,6,0,0
4,0.307,"E Tundra Div 1",50,46,3,1
3,0.307,"E Tundra Div 1",146,93,24,29
2,0.307,"E Tundra Div 1",181,79,69,33
1,0.307,"E Tundra Div 1",194,43,113,38
0,0.307,"E Tundra Div 1",85,0,58,27
6,0.367,"E Tundra Div 2",1,1,0,0
5,0.367,"E Tundra Div 2",7,6,1,0
4,0.367,"E Tundra Div 2",93,77,9,7
3,0.367,"E Tundra Div 2",151,92,39,20
2,0.367,"E Tundra Div 2",185,66,84,35
1,0.367,"E Tundra Div 2",137,18,89,30
0,0.367,"E Tundra Div 2",52,0,38,14
6,0.447,"R Alpine Div 1",26,26,0,0
5,0.447,"R Alpine Div 1",65,56,7,2
4,0.447,"R Alpine Div 1",103,77,20,6
3,0.447,"R Alpine Div 1",167,78,59,30
2,0.447,"R Alpine Div 1",177,53,101,23
1,0.447,"R Alpine Div 1",117,18,83,16
0,0.447,"R Alpine Div 1",39,0,38,1
6,0.467,"R Alpine Div 2",9,7,0,2
5,0.467,"R Alpine Div 2",59,51,4,4
4,0.467,"R Alpine Div 2",122,86,25,11
3,0.467,"R Alpine Div 2",130,67,57,6
2,0.467,"R Alpine Div 2",128,35,74,19
1,0.467,"R Alpine Div 2",88,6,67,15
0,0.467,"R Alpine Div 2",28,0,25,3
6,0.453,"R Arcadia Div 1",7,7,0,0
5,0.453,"R Arcadia Div 1",43,35,3,5
4,0.453,"R Arcadia Div 1",129,86,24,19
3,0.453,"R Arcadia Div 1",183,90,62,31
2,0.453,"R Arcadia Div 1",122,30,76,16
