TCA,RundleQPct,Rundle,Matches,W,L,T
3,0.557,"B Archipelago",175,60,90,25
2,0.557,"B Archipelago",114,25,73,16
1,0.557,"B Archipelago",41,2,35,4
0,0.557,"B Archipelago",7,0,7,0
6,0.606,"B Atlantic",28,27,0,1
5,0.606,"B Atlantic",120,91,17,12
4,0.606,"B Atlantic",204,96,71,37
3,0.606,"B Atlantic",162,41,96,25
2,0.606,"B Atlantic",77,8,56,13
1,0.606,"B Atlantic",22,1,21,0
0,0.606,"B Atlantic",3,0,3,0
6,0.680,"B Badlands",58,51,0,7
5,0.680,"B Badlands",183,120,41,22
4,0.680,"B Badlands",213,79,115,19
3,0.680,"B Badlands",110,28,71,11
2,0.680,"B Badlands",48,4,41,3
1,0.680,"B Badlands",13,0,13,0
0,0.680,"B Badlands",1,0,1,0
6,0.682,"B Bayou",56,48,0,8
5,0.682,"B Bayou",195,116,34,45
4,0.682,"B Bayou",187,73,84,30
3,0.682,"B Bayou",132,19,94,19
2,0.682,"B Bayou",35,2,31,2
1,0.682,"B Bayou",13,0,13,0
0,0.682,"B Bayou",2,0,2,0
6,0.629,"B Cascade",30,29,0,1
5,0.629,"B Cascade",146,95,23,28
4,0.629,"B Cascade",210,84,82,44
3,0.629,"B Cascade",142,37,78,27
2,0.629,"B Cascade",71,11,54,6
1,0.629,"B Cascade",15,0,15,0
0,0.629,"B Cascade",4,0,4,0
6,0.707,"B Central",80,61,0,19
5,0.707,"B Central",203,118,45,40
4,0.707,"B Central",196,71,109,16
3,0.707,"B Central",107,18,75,14
2,0.707,"B Central",47,5,41,1
1,0.707,"B Central",3,0,3,0
6,0.643,"B Coastal",53,47,0,6
5,0.643,"B Coastal",141,88,26,27
4,0.643,"B Coastal",235,104,90,41
3,0.643,"B Coastal",159,43,102,14
2,0.643,"B Coastal",60,6,51,3
1,0.643,"B Coastal",18,0,17,1
0,0.643,"B Coastal",2,0,2,0
6,0.659,"B Continental",44,41,0,3
5,0.659,"B Continental",159,104,27,28
4,0.659,"B Continental",212,82,84,46
3,0.659,"B Continental",137,26,96,15
2,0.659,"B Continental",54,6,44,4
1,0.659,"B Continental",7,1,6,0
0,0.659,"B Continental",3,0,3,0
6,0.563,"B Corridor",27,27,0,0
5,0.563,"B Corridor",92,74,9,9
4,0.563,"B Corridor",180,99,54,27
3,0.563,"B Corridor",182,53,101,28
2,0.563,"B Corridor",118,20,79,19
1,0.563,"B Corridor",33,3,27,3
0,0.563,"B Corridor",6,0,6,0
6,0.639,"B Fjord",32,27,0,5
5,0.639,"B Fjord",164,110,26,28
4,0.639,"B Fjord",191,77,77,37
3,0.639,"B Fjord",170,45,99,26
2,0.639,"B Fjord",56,7,46,3
1,0.639,"B Fjord",17,0,16,1
0,0.639,"B Fjord",2,0,2,0
6,0.653,"B Frontier",35,31,0,4
5,0.653,"B Frontier",186,124,30,32
4,0.653,"B Frontier",191,68,83,40
3,0.653,"B Frontier",145,36,90,19
2,0.653,"B Frontier",55,5,47,3
1,0.653,"B Frontier",15,1,14,0
0,0.653,"B Frontier",1,0,1,0
6,0.615,"B Glacier",41,39,0,2
