3,0.33,1277,800,279,198
2,0.33,1549,682,595,272
1,0.33,1254,256,744,254
0,0.33,496,0,383,113
6,0.32,19,19,0,0
5,0.32,88,85,1,2
4,0.32,262,217,22,23
3,0.32,551,354,118,79
2,0.32,701,317,248,136
1,0.32,579,110,334,135
0,0.32,240,0,180,60
6,0.31,24,24,0,0
5,0.31,172,167,4,1
4,0.31,477,415,28,34
3,0.31,893,613,156,124
2,0.31,1170,516,425,229
1,0.31,968,220,541,207
0,0.31,378,0,265,113
6,0.30,12,12,0,0
5,0.30,115,111,0,4
4,0.30,290,241,24,25
3,0.30,629,429,114,86
2,0.30,769,351,260,158
1,0.30,645,139,356,150
0,0.30,282,0,187,95
6,0.29,15,15,0,0
5,0.29,131,127,1,3
4,0.29,428,367,22,39
3,0.29,887,632,137,118
2,0.29,1073,524,337,212
1,0.29,905,244,438,223
0,0.29,398,0,306,92
6,0.28,10,10,0,0
5,0.28,83,81,1,1
4,0.28,290,253,18,19
3,0.28,573,421,84,68
2,0.28,734,369,219,146
1,0.28,661,179,323,159
0,0.28,264,0,188,76
6,0.27,22,22,0,0
5,0.27,138,135,1,2
4,0.27,334,294,15,25
3,0.27,716,528,94,94
2,0.27,925,483,273,169
1,0.27,842,225,405,212
0,0.27,379,0,251,128
6,0.26,8,8,0,0
5,0.26,53,53,0,0
4,0.26,187,168,9,10
3,0.26,384,286,49,49
2,0.26,555,282,175,98
1,0.26,481,140,212,129
0,0.26,210,0,131,79
6,0.25,10,10,0,0
5,0.25,82,81,0,1
4,0.25,321,291,11,19
3,0.25,662,505,85,72
2,0.25,907,498,236,173
1,0.25,791,213,378,200
0,0.25,369,0,238,131
6,0.24,8,8,0,0
5,0.24,52,50,1,1
4,0.24,153,134,7,12
3,0.24,328,243,42,43
2,0.24,463,275,101,87
1,0.24,439,155,179,105
0,0.24,178,0,108,70
6,0.23,5,5,0,0
5,0.23,68,68,0,0
4,0.23,193,179,7,7
3,0.23,419,328,54,37
2,0.23,589,348,143,98
1,0.23,528,190,198,140
0,0.23,238,0,136,102
6,0.22,6,6,0,0
5,0.22,51,50,0,1
4,0.22,157,149,3,5
3,0.22,294,242,23,29
2,0.22,370,214,86,70
1,0.22,360,133,140,87
0,0.22,163,0,94,69
6,0.21,21,21,0,0
5,0.21,61,61,0,0
4,0.21,166,159,4,3
3,0.21,310,271,20,19
2,0.21,413,242,83,88
1,0.21,347,112,130,105
0,0.21,153,0,84,69
6,0.20,7,7,0,0
5,0.20,44,43,1,0
4,0.20,113,104,6,3
3,0.20,227,192,25,10
2,0.20,305,201,50,54
1,0.20,280,118,80,82
0,0.20,112,0,47,65
6,0.19,4,4,0,0
5,0.19,40,40,0,0
4,0.19,131,123,1,7
3,0.19,257,217,19,21
2,0.19,358,246,64,48
1,0.19,277,122,83,72
0,0.19,141,0,65,76
6,0.18,7,7,0,0
5,0.18,24,24,0,0
4,0.18,88,85,0,3
3,0.18,155,131,10,14
2,0.18,205,147,24,34
1,0.18,187,80,58,49
0,0.18,77,0,39,38
6,0.17,3,3,0,0
5,0.17,37,37,0,0
4,0.17,82,81,0,1
3,0.17,185,167,8,10
2,0.17,280,189,52,39
1,0.17,240,95,78,67
0,0.17,113,0,51,62
6,0.16,1,1,0,0
5,0.16,12,12,0,0
4,0.16,36,35,0,1
3,0.16,94,83,4,7
2,0.16,134,107,15,12
1,0.16,106,51,23,32
0,0.16,43,0,16,27
6,0.15,8,8,0,0
5,0.15,31,31,0,0
4,0.15,91,89,1,1
3,0.15,168,150,11,7
2,0.15,221,166,30,25
1,0.15,187,82,52,53
0,0.15,75,0,27,48
5,0.14,11,11,0,0
4,0.14,38,36,0,2
3,0.14,75,69,2,4
2,0.14,74,59,6,9
1,0.14,70,37,16,17
0,0.14,33,0,11,22
6,0.13,3,3,0,0
5,0.13,15,15,0,0
4,0.13,43,42,0,1
3,0.13,80,75,2,3
2,0.13,85,71,6,8
1,0.13,87,47,13,27
0,0.13,47,0,19,28
6,0.12,1,1,0,0
5,0.12,19,19,0,0
4,0.12,33,32,1,0
3,0.12,53,49,2,2
2,0.12,68,54,5,9
1,0.12,77,38,13,26
0,0.12,31,0,12,19
6,0.11,1,1,0,0
5,0.11,8,8,0,0
4,0.11,26,26,0,0
3,0.11,26,24,1,1
2,0.11,34,25,3,6
1,0.11,32,16,4,12
0,0.11,9,0,4,5
6,0.10,1,1,0,0
5,0.10,2,2,0,0
4,0.10,16,16,0,0
3,0.10,26,26,0,0
2,0.10,34,31,2,1
1,0.10,24,11,4,9
0,0.10,10,0,4,6
6,0.09,1,1,0,0
5,0.09,9,9,0,0
4,0.09,16,15,0,1
3,0.09,27,24,1,2
2,0.09,39,35,1,3
1,0.09,33,20,4,9
0,0.09,16,0,2,14
4,0.08,3,3,0,0
3,0.08,3,3,0,0
2,0.08,5,5,0,0
1,0.08,3,3,0,0
5,0.07,4,4,0,0
4,0.07,23,23,0,0
3,0.07,24,24,0,0
2,0.07,37,33,3,1
1,0.07,27,18,2,7
0,0.07,18,0,5,13
6,0.06,2,2,0,0
5,0.06,3,3,0,0
4,0.06,6,6,0,0
3,0.06,3,2,1,0
2,0.06,4,4,0,0
1,0.06,4,3,1,0
5,0.04,3,3,0,0
4,0.04,1,1,0,0
3,0.04,4,4,0,0
2,0.04,1,1,0,0
1,0.04,3,3,0,0
0,0.04,3,0,1,2
4,0.02,2,2,0,0
3,0.02,6,6,0,0
2,0.02,4,3,1,0
1,0.02,4,2,0,2
6,0.00,28,28,0,0
5,0.00,58,58,0,0
4,0.00,61,61,0,0
3,0.00,55,55,0,0
2,0.00,27,27,0,0
1,0.00,20,20,0,0
0,0.00,12,0,0,12
