Season,Matchday,Player,Wins,Losses,Ties,Pts,MPD,TMP,TCA,PCA,UfPE,OE,QPct,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPD,OPD,FW,FL,3PT,MCW,Rundle,Rundle Rank,League,Branch
73,25,AinslieR,15,5,5,34,30,70,51,1.37254901961,33,0.417721518987,0.354166666667,40,45,0.888888888889,18,0.802197802198,15,0.771888185654,1.15636446886,1.21991932119,0,1,8,27,E Glacier,6,Glacier,AbdalianA
73,25,AiriN,10,15,0,8,-49,58,43,1.3488372093,21,0.381818181818,0.551282051282,107,77,1.38961038961,42,0.584158415842,-21,0.9331002331,1.13544046712,0.96597659766,0,12,4,4,D Magnolia Div 1,27,Magnolia,WilliamsK
73,25,AkawieE,11,9,5,26,10,156,112,1.39285714286,25,0.337837837838,0.777777777778,146,108,1.35185185185,28,0.681818181818,-3,1.11561561562,1.4595959596,1.01965601966,0,1,15,7,A Delta,11,Delta,O'Mahoney-SchwartzD
73,25,AlailimaT,10,12,3,23,-1,105,80,1.3125,28,0.325581395349,0.533333333333,106,78,1.35897435897,33,0.625,-5,0.858914728682,1.15833333333,0.950581395349,1,0,8,19,D Central Div 1,14,Central,CorriereC
73,25,AlaverdyanM,13,10,2,26,-2,76,59,1.28813559322,35,0.368421052632,0.427536231884,78,63,1.2380952381,32,0.670103092784,3,0.795957284516,1.09763932467,1.03852414542,0,2,6,15,D Seaboard Div 2,11,Seaboard,BakerH
73,25,AlayonJ,11,9,5,27,3,99,82,1.20731707317,24,0.25,0.546666666667,96,76,1.26315789474,31,0.683673469388,-7,0.796666666667,1.23034013605,0.933673469388,0,0,8,19,C Memorial,11,Memorial,AlayonJ
73,25,AlberM,14,7,4,31,21,129,94,1.37234042553,29,0.353658536585,0.652777777778,108,81,1.33333333333,37,0.633663366337,-8,1.00643631436,1.28644114411,0.987321902922,1,1,14,10,C Continental Div 1,5,Continental,SchwartzT
73,25,AlbertB,8,14,3,19,-2,93,80,1.1625,28,0.254545454545,0.533333333333,95,73,1.30136986301,31,0.659340659341,-3,0.787878787879,1.19267399267,0.913886113886,1,0,7,18,C Sierra Div 1,19,Sierra,PhelanME
73,25,AlbertJ,15,8,2,32,27,111,81,1.37037037037,40,0.39603960396,0.54,84,62,1.35483870968,35,0.602272727273,5,0.93603960396,1.14227272727,0.998312331233,0,0,11,16,R Morningstar,7,Morningstar,PetersonT
73,25,AlbertL,13,9,3,29,13,87,64,1.359375,37,0.402173913043,0.426666666667,74,60,1.23333333333,27,0.686046511628,10,0.82884057971,1.11271317829,1.08822042467,2,0,9,16,D Sierra Div 2,7,Sierra,PhelanME
73,25,AlbertM,10,14,1,21,-17,71,59,1.20338983051,32,0.323232323232,0.393333333333,88,65,1.35384615385,37,0.602150537634,-5,0.716565656566,0.995483870968,0.925382860867,1,0,4,27,D Frontier Div 1,18,Frontier,AlexisC
73,25,AlbertMichael,10,12,3,23,1,127,97,1.30927835052,29,0.305263157895,0.646666666667,126,87,1.44827586207,42,0.548387096774,-13,0.951929824561,1.19505376344,0.853650254669,0,0,8,13,B Cascade,14,Cascade,FelberA
